종목명,시가총액,조단위,누적비율
삼성전자,8903135,890.3135,0.20014887181413374
SK하이닉스,6042420,604.242,0.3359868149686695
현대차,978742,97.8742,0.35798963836706893
삼성전자우,898388,89.8388,0.3781860461101118
LG에너지솔루션,889200,88.92,0.3981759010114615
삼성바이오로직스,792038,79.2038,0.4159814843406958
SK스퀘어,667040,66.704,0.4309770228172998
한화에어로스페이스,638871,63.8871,0.44533930193412413
기아,586010,58.601,0.4585132277896571
HD현대중공업,576237,57.6237,0.471467449583167
두산에너빌리티,552164,55.2164,0.4838804930399246
KB금융,510015,51.0015,0.49534599669209717
